Energy(eV),Eflux(1/cm2/s/r)
1.00E+16,1.66460607556365E-11
3.16E+16,3.96607256275127E-13
1.00E+17,4.04163767300015E-14
3.16E+17,6.47851412271163E-15
1.00E+18,1.48638443047321E-15
3.16E+18,4.52624131938817E-16
1.00E+19,1.4863844304732E-16
3.16E+19,6.72773462570294E-17
1.00E+20,3.28392660838984E-17
3.16E+20,1.86419699372207E-17
