Energy(eV),Eflux(1/cm2/s/r)
9.88123321304603E+015,1.66460607556365E-11
3.12807455818708E+016,3.96607256275127E-13
9.89478041977561E+016,4.04163767300015E-14
3.12917768100291E+017,6.47851412271163E-15
1.000403041398E+018,1.48638443047321E-15
3.16264403460019E+018,4.52624131938817E-16
9.99788468271716E+018,1.4863844304732E-16
3.16003255305973E+019,6.72773462570294E-17
9.98751603280584E+019,3.28392660838984E-17
3.15637374173717E+020,1.86419699372207E-17
