log10_energy_ev, log10_flux_efe
10000000, 1.3874112931917449e-8
31444987.047635455, 1.993734271380872e-8
99774731.5749673, 2.091106425311612e-8
316584549.57466084, 1.7959777709829503e-8
1004520638.114518, 2.204880846450253e-8
3158713845.4593325, 3.5763792191550646e-8
10022577702.93909, 6.352529880698779e-8
31515982605.284153, 1.1772296239417125e-7
100000000000, 3.1564001707459633e-7
