Log10(E/eV),Aomega_eff(cm^2 sr)
15.5,24932.4399572933
16,200879.76540618
16.5,1133834.45060584
17,4823520.30370576
17.5,14335384.6316388
18,41679639.9139171
18.5,124613383.716843
19,256600227.320853
19.5,572412093.691497
20,1283890930.15137
20.5,2454002491.51003
21,4022899946.09642
